#Z	A	Ea	Eb
117	285	7.79	x
117	286	8.34	x
117	287	8.7	x
117	288	8.57	x
117	289	8.61	x
117	290	8.9	x
117	291	8.88	x
117	292	8.99	x
117	293	8.96	x
117	294	9.04	x
117	295	9.06	x
117	296	9.17	x
118	281	4.73	x
118	282	5.49	x
118	283	5.88	x
118	284	6.31	x
118	285	6.85	x
118	286	7.37	x
118	287	8.12	x
118	288	8.32	x
118	289	8.85	x
118	290	8.39	x
118	291	8.41	x
118	292	8.41	x
118	293	8.53	x
118	294	8.48	x
118	295	8.46	x
118	296	8.36	x
118	297	8.49	x
118	298	8.05	x
118	299	7.76	x
118	300	7.15	x
119	284	5.51	x
119	285	6.19	x
119	286	6.7	x
119	287	7.34	x
119	288	7.9	x
119	289	8.06	x
119	290	7.62	x
119	291	7.8	x
119	292	8.05	x
119	293	8.12	x
119	294	8.29	x
119	295	8.06	x
119	296	8.07	x
119	297	7.94	x
119	298	8.1	x
119	299	7.72	x
119	300	7.37	x
120	287	6.35	x
120	288	6.85	x
120	289	7.35	x
120	290	7.7	x
120	291	8.26	x
120	292	7.36	x
120	293	7.44	x
120	294	7.57	x
120	295	7.71	x
120	296	7.69	x
120	297	7.54	x
120	298	7.33	x
120	299	7.48	x
120	300	7.01	x
120	301	6.68	x
120	302	6.07	x
120	303	5.55	x
120	304	4.86	x
121	290	7.07	x
121	291	6.46	x
121	292	6.82	x
121	293	6.89	x
121	294	7.31	x
121	295	7.03	x
121	296	7.19	x
121	297	7.16	x
121	298	7.05	x
121	299	6.99	x
121	300	7.1	x
121	301	6.66	x
121	302	6.31	x
121	303	5.64	x
121	304	5.11	x
122	294	6.32	x
122	295	6.54	x
122	296	6.53	x
122	297	6.31	x
122	298	6.33	x
122	299	6.28	x
122	300	6.19	x
122	301	6.23	x
122	302	5.6	x
122	303	5.51	x
122	304	4.87	x
122	305	4.33	x
122	306	3.62	x
122	307	2.6	x
122	308	1.82	x
123	297	6.09	x
123	298	5.84	x
123	299	5.6	x
123	300	5.54	x
123	301	5.45	x
123	302	5.45	x
123	303	5.01	x
123	304	4.93	x
123	305	4.25	x
123	306	3.69	x
123	307	2.95	x
123	308	1.94	x
124	300	5.64	x
124	301	5.77	x
124	302	5.63	x
124	303	5.45	x
124	304	4.12	x
124	305	3.9	x
124	306	3.32	x
124	307	2.74	x
124	308	2.01	x
124	309	1.85	x
124	310	1.75	x
124	311	1.74	x
124	312	1.66	x
125	303	5.64	x
125	304	5.45	x
125	305	4.93	x
125	306	4.44	x
125	307	3.71	x
125	308	1.81	x
125	309	1.08	x
125	310	1.96	x
125	311	1.8	x
125	312	1.98	x
