#  Z	A	Bin	Bout
93	291	9.3	11
94	232	3.6	2.2
94	233	4	2.5
94	234	4.2	2.7
94	235	4.7	2.9
94	236	4.8	2.7
94	237	5.5	2.9
94	238	5.4	2.9
94	239	5.8	2.9
94	240	5.8	3.4
94	241	6.4	3.3
94	242	6.2	3.6
94	243	6.7	3.8
94	244	6.4	3.9
94	245	6.7	4.2
94	246	6.2	4.1
94	247	6.3	4.4
94	248	5.9	4.3
94	249	6.2	4.4
94	250	5.5	4
94	251	5.6	4.3
94	252	5.2	4
94	253	5.5	4.2
94	254	5	3.8
94	255	4.8	3.8
94	256	4.5	3.5
94	257	4.6	3.6
94	258	4.2	3
94	259	4.3	3
94	260	3.8	2.4
94	261	3.6	2.4
94	262	3.8	2.2
94	263	4.2	2.3
94	264	3.8	2.7
94	265	3.7	2.6
94	266	4.1	3.2
94	267	6	5
94	268	5.9	5.8
94	269	6.7	6.8
94	270	6.6	6.9
94	271	7.3	7.9
94	272	7.1	7.9
94	273	8.1	9
94	274	8.4	9.6
94	275	9.5	10.1
94	276	9.4	10.2
94	277	10.5	11.2
94	278	10.8	11.4
94	279	10.3	11.1
94	280	9.2	9.6
94	281	9.2	9.4
94	282	8.3	8.9
94	283	8.3	8.7
94	284	8	8
94	285	8.5	7.3
94	286	7.7	7.1
94	287	7.7	7.4
94	288	7.1	7.1
94	289	8	7.4
94	290	7.6	8
94	291	8.1	8.6
94	292	8.4	9.1
94	293	9.1	9.3
94	294	9	9.8
94	295	9.6	12.1
94	296	9.5	10.5
94	297	9.9	10.9
94	298	10	11.1
94	299	10.5	11.6
94	300	10.1	11.5
95	233	3.7	1.6
95	234	4.3	1.8
95	235	4.5	2.1
95	236	4.9	2.3
95	237	5.1	2
95	238	5.7	2.1
95	239	5.7	2.3
95	240	6.3	2.7
95	241	6.3	2.7
95	242	6.8	3.1
95	243	6.5	3.1
95	244	6.9	3.3
95	245	6.6	3.4
95	246	6.9	3.5
95	247	6.5	3.5
95	248	6.5	3.7
95	249	6.2	3.5
95	250	6.1	3.6
95	251	5.8	3.4
95	252	5.8	3.6
95	253	5.4	3.2
95	254	5.3	3.4
95	255	4.7	3
95	256	4.8	3
95	257	4.6	2.7
95	258	4.5	2.5
95	259	4.1	2.3
95	260	4.3	2.1
95	261	3.9	1.7
95	262	4	1.4
95	263	3.6	1.3
95	264	3.8	0.9
95	265	3.5	1.3
95	266	3.9	1.8
95	267	3.4	1.8
95	268	5	3.6
95	269	5.3	4.3
95	270	6.1	5.2
95	271	6	5.6
95	272	6.7	6.5
95	273	6.2	6.3
95	274	7.2	6.5
95	275	7.4	6.7
95	276	8.4	7.7
95	277	8.5	8
95	278	9.5	9
95	279	9.3	9.4
95	280	8.8	9
95	281	7.8	7.6
95	282	7.9	7.8
95	283	7	6.4
95	284	7.6	7.2
95	285	6.9	6.1
95	286	7.3	6.3
95	287	6.4	5.7
95	288	6.5	5.3
95	289	5.8	5
95	290	6.7	5.5
95	291	6.9	6
95	292	7.5	5.4
95	293	7.6	7.5
95	294	7.9	7.6
95	295	8.3	8.2
95	296	9.1	8.6
95	297	8.9	8.8
95	298	9.3	9.4
95	299	9.3	9.5
95	300	9.9	9.8
95	301	9.6	9.9
95	302	9.9	10.2
95	303	9.6	10.1
96	234	3.5	X
96	235	3.9	X
96	236	4.1	X
96	237	4.6	X
96	238	4.9	X
96	239	5.5	X
96	240	5.5	1.2
96	241	6.2	1.6
96	242	6.1	1.7
96	243	6.6	2
96	244	6.4	2.1
96	245	6.7	2.5
96	246	6.5	2.4
96	247	6.7	2.6
96	248	6.5	2.6
96	249	6.7	2.9
96	250	6.1	2.7
96	251	6.4	3
96	252	5.9	2.6
96	253	5.5	2.9
96	254	5	2.5
96	255	5.2	2.6
96	256	4.7	2.3
96	257	4.9	2.2
96	258	4.5	1.9
96	259	4.5	1.7
96	260	4.2	1.5
96	261	4.2	1.3
96	262	3.7	0.7
96	263	3.6	0.6
96	264	3.2	0.3
96	265	3.6	0.2
96	266	3.1	X
96	267	3.3	X
96	268	3.1	X
96	269	4.7	2.6
96	270	4	2.3
96	271	5.7	4.1
96	272	5.5	4.2
96	273	6.1	5.4
96	274	5.8	4.4
96	275	6.6	5.2
96	276	6.6	5.5
96	277	7.6	6.5
96	278	7.8	7.3
96	279	8.6	8.3
96	280	7.8	8.3
96	281	8.3	8.1
96	282	5.7	6.6
96	283	7.4	6.8
96	284	6.4	5.9
96	285	6.7	5.6
96	286	6	4.7
96	287	6.4	X
96	288	5.6	4.1
96	289	5.6	3.9
96	290	4.9	3.2
96	291	5.3	3.4
96	292	5.7	4
96	293	6.3	4.4
96	294	6.7	4.8
96	295	7.3	5.2
96	296	7.4	6.9
96	297	8	7.5
96	298	8	6.4
96	299	8.6	7.2
96	300	8.3	6.7
96	301	8.5	7.3
96	302	8.4	7.8
96	303	9	4.9
96	304	8.5	7.9
96	305	8.9	8.1
96	306	8.6	8
97	236	4.3	X
97	237	4.6	X
97	238	5	X
97	239	5.3	X
97	240	6	X
97	241	5.9	X
97	242	6.3	X
97	243	6.4	X
97	244	6.8	1.2
97	245	6.7	1.3
97	246	7.2	1.6
97	247	6.9	1.8
97	248	7.1	2.1
97	249	6.9	1.9
97	250	7.1	2.2
97	251	6.6	2.1
97	252	6.4	2.3
97	253	5.9	2
97	254	5.8	2
97	255	5.2	1.8
97	256	5.3	1.9
97	257	4.9	1.4
97	258	5	1.4
97	259	4.5	1
97	260	4.5	0.6
97	261	4.2	X
97	262	4.2	X
97	263	3.8	X
97	264	3.8	X
97	265	3.3	X
97	266	3.2	X
97	267	3	X
97	268	2.9	X
97	269	2.8	X
97	270	3.2	X
97	271	3.1	X
97	272	5	X
97	273	4.6	2.3
97	274	5.4	2.9
97	275	5.3	3
97	276	5.6	3.4
97	277	5.6	3.7
97	278	6.6	5.2
97	279	6.6	5.4
97	280	7.3	6.2
97	281	7.5	6.3
97	282	7.1	5.9
97	283	5.8	5
97	284	5.3	4.9
97	285	4.5	4
97	286	4.7	4
97	287	3.8	3.2
97	288	5.5	X
97	289	4.4	2.1
97	290	4.7	1.9
97	291	3.8	1.5
97	292	4.8	1.9
97	293	4.8	2.6
97	294	5.1	3
97	295	6	3.4
97	296	5.9	7.8
97	297	4.9	6
97	298	5.4	7.9
97	299	5.5	7.5
97	300	5.9	7.9
97	301	6.1	7.7
97	302	6.1	7.8
97	303	6.1	8
97	304	6.4	8.4
97	305	6.2	8
97	306	6.5	8.1
97	307	6.4	8.1
97	308	6.9	8.4
98	238	4.1	X
98	239	4.5	X
98	240	4.8	X
98	241	5.5	X
98	242	5.5	X
98	243	6	X
98	244	6.1	X
98	245	6.7	X
98	246	6.5	X
98	247	6.9	X
98	248	6.7	X
98	249	6.9	X
98	250	6.7	1
98	251	7	1.4
98	252	6.2	1.2
98	253	6.3	1.5
98	254	5.7	1.1
98	255	5.8	1.2
98	256	5.2	1
98	257	5.2	1
98	258	4.8	0.7
98	259	4.9	X
98	260	4.5	X
98	261	4.3	X
98	262	4	X
98	263	4.1	X
98	264	3.6	X
98	265	3.6	X
98	266	3.1	X
98	267	2.9	X
98	268	2.5	X
98	269	2.7	X
98	270	2.4	X
98	271	2.7	X
98	272	2.8	X
98	273	4.2	X
98	274	4.2	X
98	275	5	1.9
98	276	5	2.1
98	277	5.3	2.5
98	278	5.3	3.3
98	279	6.1	4.3
98	280	6.1	4.6
98	281	7	5.3
98	282	6.8	5.4
98	283	6.5	5.2
98	284	5	3.9
98	285	5	3.9
98	286	4.2	3
98	287	4.4	X
98	288	3.6	X
98	289	3.9	X
98	290	2.9	X
98	291	3	X
98	292	2	X
98	293	3.3	X
98	294	3.8	X
98	295	4.3	3
98	296	5	2.9
98	297	5.5	3.1
98	298	5.7	1.9
98	299	6.1	2.3
98	300	6.2	4.4
98	301	6.8	4.8
98	302	6.6	4.8
98	303	5.9	7.2
98	304	5.6	7.3
98	305	6	7.4
98	306	6	6.8
98	307	6.4	7.4
98	308	6.1	7
98	309	6.4	7.3
98	310	6.2	7.1
99	240	4.6	X
99	241	5.2	X
99	242	5.8	X
99	243	5.7	X
99	244	6.6	X
99	245	6.5	X
99	246	7.1	X
99	247	6.7	X
99	248	7.3	X
99	249	7.1	X
99	250	7.6	X
99	251	7.3	X
99	252	6.9	X
99	253	6.5	X
99	254	6.5	X
99	255	6	X
99	256	6.1	X
99	257	5.6	X
99	258	5.4	X
99	259	5	X
99	260	4.8	X
99	261	4.6	X
99	262	4.5	X
99	263	4.1	X
99	264	4	X
99	265	3.6	X
99	266	3.6	X
99	267	3	X
99	268	2.9	X
99	269	2.3	X
99	270	2.3	X
99	271	2	X
99	272	2.4	X
99	273	2.1	X
99	274	3.6	X
99	275	3.9	X
99	276	4.4	X
99	277	3.6	X
99	278	4.4	X
99	279	4.4	1.4
99	280	5.1	2.4
99	281	5	2.5
99	282	6.2	3.8
99	283	5.9	3.5
99	284	5.3	1.8
99	285	4.8	2.3
99	286	4.7	2.4
99	287	3.7	X
99	288	4	X
99	289	3.2	X
99	290	3.6	X
99	291	2.6	X
99	292	2.4	X
99	293	2	X
99	294	2.1	X
99	295	2.5	X
99	296	2.8	X
99	297	3.6	X
99	298	4.5	X
99	299	4.6	X
99	300	5.1	X
99	301	5.1	X
99	302	5.4	X
99	303	5.4	X
99	304	5.7	X
99	305	5.8	X
99	306	6.3	X
99	307	6.3	X
99	308	6.6	X
99	309	6.2	X
99	310	6.4	X
99	311	6.5	X
99	312	6.8	X
100	242	4.7	X
100	243	5.1	X
100	244	5.3	X
100	245	5.7	X
100	246	5.9	X
100	247	6.5	X
100	248	6.3	X
100	249	6.8	X
100	250	6.7	X
100	251	6.8	X
100	252	6.3	X
100	253	6.4	X
100	254	5.8	X
100	255	6	X
100	256	5.5	X
100	257	5.6	X
100	258	5.1	X
100	259	5.2	X
100	260	4.8	X
100	261	4.7	X
100	262	4.4	X
100	263	4.1	X
100	264	3.8	X
100	265	3.8	X
100	266	3.3	X
100	267	3.2	X
100	268	2.7	X
100	269	2.6	X
100	270	2.2	X
100	271	2.2	X
100	272	1.8	X
100	273	2.3	X
100	274	1.8	X
100	275	3.1	X
100	276	2.6	X
100	277	4	X
100	278	3.3	X
100	279	4.2	X
100	280	4.3	X
100	281	5.2	X
100	282	5.1	X
100	283	6.3	2.9
100	284	6	2.7
100	285	5.5	2.1
100	286	4.3	1.2
100	287	4	1.1
100	288	3.4	X
100	289	3.5	X
100	290	2.7	X
100	291	2.9	X
100	292	2.1	X
100	293	1.9	X
100	294	1.6	X
100	295	1.7	X
100	296	2.1	X
100	297	3.1	X
100	298	3.4	X
100	299	4.1	X
