! J.Wiza et al., PhysRev 143 (1966) 676 -- Level 0.96  18O(p,d)19O"	
!DEGREES	ARB-UNITS
5.2971	0.0913
13.246	0.1935
21.196	0.2818
29.156	0.2849
37.123	0.2183
45.09	0.1611
52.299	0.1007
59.875	0.1487
68.598	0.11
75.418	0.1364
83.374	0.1735
90.946	0.2525
95.871	0.2742
117.49	0.155
123.56	0.1365
132.28	0.0931
140.62	0.1272
146.68	0.1535
153.49	0.2418
160.31	0.3006
167.89	0.33
175.46	0.3657
