76.63,67.37,58.18,49.39
93.15,82.73,71.96,61.34
109.2,98.06,86.02,73.72
138.9,127.6,114.0,98.97
164.5,154.5,140.7,124.0
185.9,178.4,165.5,148.1
217.3,216.9,208.5,192.2
251.2,270.9,281.1,277.5
253.4,289.3,318.8,333.4
231.3,284.1,341.7,392.0
204.9,263,335.5,413
182.3,240.6,319.9,416.1
163.7,220.3,302,410.4
148.5,202.8,284.4,400.5
135.9,187.6,267.9,388.5
125.3,174.6,252.9,357.8
116.3,163.3,239.4,363.1
95.91,136.9,206,327.4
86.01,123.8,188.7,306.5
78.01,113.1,174.1,288
68.58,100.3,156.3,264.2
57.24,84.62,133.9,232.4
49.22,73.39,117.5,207.8
43.27,64.89,104.9,188.4
38.66,58.26,94.87,172.5
34.99,52.94,86.7,159.3
31.99,48.56,79.92,148.1
29.49,44.89,74.2,138.5
27.37,41.77,69.3,130.2
25.55,39.08,65.06,122.9
23.97,36.74,61.34,116.4
21.36,32.82,55.13,105.5
17.6,27.2,46.04,89.24
13.98,21.76,37.16,72.98
12.33,19.26,33.02,65.29
9.575,15.04,25.98,52.04
6.686,10.58,18.47,37.56
4.659,7.42,13.08,26.93
3.133,5.029,8.945,18.64
2.273,3.666,6.559,13.8
