.1593e-4,.1765e-4,.1938e-4,.2128e-4
.4924e-4,.5392e-4,.5902e-4,.6513e-4
.1449e-3,.1580e-3,.1735e-3,.1937e-3
.4054e-3,.4429e-3,.4909e-3,.5571e-3
.001075,.001182,.001328,.001541
.002690,.002989,.003414,.004059
.006316,.007105,.008267,.01008
.009436,.01068,.01255,.01547
.01385,.01579,.01870,.02329
.01997,.02290,.02733,.03432
.02827,.03261,.03916,.04943
.05361,.06237,.07545,.09517
.09444,.1103,.1331,.1647
.1549,.1803,.2143,.255
.2372,.2729,.3151,.3535
.3045,.3836,.424,.441
.4601,.5023,.5242,.4995
.5235,.5602,.5655,.5145
.5874,.6145,.5985,.5197
.6503,.6633,.6221,.5155
.7105,.7049,.6354,.503
.8163,.7608,.632,.4589
.8926,.776,.5941,.3996
.9307,.7519,.533,.3359
.9279,.6964,.4607,.2751
.8877,.6211,.3869,.2213
.8185,.5371,.3181,.1758
.7765,.4948,.2867,.1561
.7314,.4535,.2576,.1384
.6844,.4138,.2308,.1225
.6368,.3761,.2063,.1082
.5431,.3076,.1638,.0843
.4558,.2491,.1294,.06543
.3776,.2002,.1017,.05067
.3098,.1599,.07972,.03916
.2521,.1271,.0623,.03022
.2039,.1006,.04857,.02329
.1829,.08944,.04285,.02043
.1639,.07943,.03780,.01793
.1467,.07049,.03332,.01572
