.04213,.04338,.04467,.04595
.05566,.05615,.05648,.05691
.06467,.06625,.07032,.08184
.09369,.1116,.1484,.2291
.2310,.3131,.4646,.7530
.6495,.8898,1.294,1.960
1.574,2.091,2.869,3.928
2.290,2.979,3.944,5.100
3.193,4.057,5.169,6.295
4.286,5.307,6.485,7.424
5.554,6.688,7.821,8.405
8.504,9.623,10.24,9.708
11.71,12.35,11.89,10.02
14.72,14.36,12.51,9.524
17.11,15.37,12.18,8.527
18.54,15.31,11.15,7.329
18.9,14.39,9.774,6.126
18.69,13.7,9.036,5.558
18.25,12.92,8.3,5.021
17.61,12.07,7.583,4.52
16.83,11.2,6.896,4.056
14.96,9.461,5.639,3.239
12.92,7.852,4.556,2.563
10.92,6.429,3.647,2.015
9.088,5.209,2.897,1.576
7.47,4.186,2.288,1.228
6.08,3.342,1.799,.954
5.469,2.98,1.593,.8401
4.91,2.654,1.41,.7392
4.402,2.361,1.246,.6505
3.94,2.098,1.101,.5719
3.145,1.653,.8581,.4418
2.499,1.298,.6675,.3409
1.978,1.017,.5184,.2625
1.758,.8996,.4018,.202
1.229,.6205,.3111,.1554
.9647,.4833,.2407,.1196
.8542,.4265,.2117,.1046
.7558,.376,.1861,.09184
.6685,.3315,.1633,.08033
