.03290,.03679,.04226,.05044
.08192,.09225,.1072,.1300
.1852,.2100,.2464,.3019
.3827,.4362,.5146,.6333
.7299,.8345,.9867,1.212
1.299,1.487,1.755,2.136
2.178,2.487,2.913,3.476
2.760,3.143,3.655,4.294
3.450,3.911,4.504,5.182
4.252,4.791,5.445,6.103
5.167,5.774,6.453,7.009
7.31,7.973,8.52,8.571
9.761,10.28,10.35,9.516
12.31,12.38,11.6,9.686
14.67,13.95,12.06,9.153
16.55,14.75,11.72,8.145
17.72,14.71,10.75,6.92
18,14.39,10.11,6.293
18.06,13.9,9.405,5.682
17.9,13.28,8.669,5.1
17.56,12.55,7.927,4.555
16.36,10.9,6.5,3.593
14.69,9.192,5.227,2.803
12.78,7.576,4.146,2.172
10.85,6.142,3.259,1.674
9.039,4.922,2.545,1.286
7.422,3.911,1.978,.9859
6.697,3.478,1.742,.8626
6.03,3.089,1.533,.7544
5.418,2.74,1.348,.6596
4.859,2.428,1.185,.5765
3.891,1.903,.9141,.4401
3.101,1.478,.7043,.3357
2.461,1.159,.5419,.256
1.946,.9017,.4166,.1951
1.534,.7004,.32,.1486
1.207,.5433,.2456,.1131
1.069,.4783,.2151,.09871
.9469,.4209,.1883,.08609
.838,.3703,.165,.07511
